""
""
ESTABILIZAÃ‡ÃƒO DE PACIENTE POR MEIO DE CONTENÃ‡ÃƒO FÃ�SICA E/OU MECÃ‚NICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),,,,Seg. Ambulatorial,HCO,,REF,,135,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÃ‡ÃƒO COM FISIOTERAPEUTA,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MÃ‰DICA,,,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÃ“GICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÃ“GICA INICIAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÃ“GICA DE URGÃŠNCIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÃ“GICA PARA AVALIAÃ‡ÃƒO TÃ‰CNICA DE AUDITORIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÃ‡ÃƒO COM PSICÃ“LOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
SESSÃƒO COM PSICÃ“LOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÃ‡ÃƒO COM FONOAUDIÃ“LOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃƒO COM FONOAUDIÃ“LOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),,,,Seg. Ambulatorial,,,REF,,103,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÃ‡ÃƒO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃƒO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÃ‰DICO, DO
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÃšDE",,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÃ�NICO AMBULATORIAL PÃ“S-TRANSPLANTE DE CÃ“RNEA,,,,,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLÃ�NICO AMBULATORIAL PÃ“S-TRANSPLANTE DE MEDULA Ã“SSEA,,,,,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLÃ�NICO AMBULATORIAL PÃ“S-TRANSPLANTE HEPÃ�TICO,546/2022,03/10/2022,,,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLÃ�NICO AMBULATORIAL PÃ“S-TRANSPLANTE RENAL,,,,,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"ACOMPANHAMENTO CLÃ�NICO DE TRANSPLANTE HEPÃ�TICO NO PERÃ�ODO DE INTERNAÃ‡ÃƒO DO RECEPTOR E
DO DOADOR",546/2022,03/10/2022,,,HCO,HSO,REF,PAC,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"ACOMPANHAMENTO CLÃ�NICO DE TRANSPLANTE RENAL NO PERÃ�ODO DE INTERNAÃ‡ÃƒO DO RECEPTOR E DO
DOADOR",,,,,HCO,HSO,REF,PAC,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
AVALIAÃ‡ÃƒO CLÃ�NICA DIARIA ENTERAL E/OU PARENTERAL,,,,,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"AVALIAÃ‡ÃƒO CLÃ�NICA E ELETRÃ”NICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÃ�ACO ELETRÃ”NICO
IMPLANTÃ�VEL (MARCA-PASSO, ESTIMULADOR MULTISSÃ�TIO/RESSINCRONIZADOR, DESFIBRILADOR OU
MONITOR DE EVENTOS)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
CARDIOVERSÃƒO ELÃ‰TRICA COM ELETROCARDIOGRAMA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,Seg. Odontológica,,,,,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E
UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÃ‡ÃƒO -
PROUT)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
PROFILAXIA: POLIMENTO CORONÃ�RIO,,,Seg. Odontológica,,,,,,,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ANTINEOPLÃ�SICA ORAL PARA TRATAMENTO DO CÃ‚NCER (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,64,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
TESTE DE PROVOCAÃ‡ÃƒO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),536/2022,06/05/2022,,Seg. Ambulatorial,HCO,HSO,REF,,152,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A
TRATAMENTOS ANTINEOPLÃ�SICOS (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO)",,,,Seg. Ambulatorial,,,REF,PAC,54,AVALIAÃ‡Ã•ES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
CARDIOTOCOGRAFIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÃ“GICO OU DIGITAL,,,,Seg. Ambulatorial,,,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAÃ‡ÃƒO AMBULATORIAL DA PRESSÃƒO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÃ‡ÃƒO,,,,Seg. Ambulatorial,,,REF,,56,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"MONITORIZAÃ‡ÃƒO AMBULATORIAL DA PRESSÃƒO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÃ‡ÃƒO
RESIDENCIAL DA PRESSÃƒO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÃ‡Ã‚O",581/2023,12/072023,,Seg. Ambulatorial,,,REF,,162,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAÃ‡ÃƒO DA PRESSÃƒO INTRACRANIANA,,,,,HCO,HSO,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAÃ‡ÃƒO HEMODINÃ‚MICA INVASIVA OU NÃƒO INVASIVA,,,,,HCO,HSO,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAÃ‡ÃƒO NEUROFISIOLÃ“GICA INTRA-OPERATÃ“RIA,,,,,HCO,HSO,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
POTENCIAL EVOCADO INTRA-OPERATÃ“RIO - MONITORIZAÃ‡ÃƒO CIRÃšRGICA (PE/IO),,,,,HCO,HSO,REF,,,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
TESTE DE INCLINAÃ‡ÃƒO ORTOSTÃ�TICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÃ‡ÃƒO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,67,MONITORIZAÃ‡Ã•ES,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
ADAPTAÃ‡ÃƒO E TREINAMENTO DE RECURSOS Ã“PTICOS,,,,Seg. Ambulatorial,,,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
AMPUTAÃ‡ÃƒO (PREPARAÃ‡ÃƒO DO COTO E TREINAMENTO PROTÃ‰TICO),,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
BIOFEEDBACK COM EMG,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
EXERCÃ�CIOS DE ORTÃ“PTICA,,,,Seg. Ambulatorial,,,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
INFILTRAÃ‡ÃƒO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REABILITACAO E REEDUCACAO DE SEQÃœELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
REABILITAÃ‡ÃƒO LABIRÃ�NTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REABILITAÃ‡ÃƒO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUACAÃ‡ÃƒO E REABILITAÃ‡ÃƒO DE QUEIMADOS PARA PREVENÃ‡ÃƒO DE SEQUELAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO CARDIOVASCULAR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO DO SISTEMA LINFÃ�TICO E/OU VASCULAR PERIFÃ‰RICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO DO SISTEMA MÃšSCULO-ESQUELÃ‰TICO POR DISTÃšRBIOS CONGÃŠNITOS OU
REUMÃ�TICOS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO NEUROLÃ“GICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO NEURO-MÃšSCULO-ESQUELÃ‰TICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO RESPIRATÃ“RIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
"REEDUCAÃ‡ÃƒO E REABILITAÃ‡ÃƒO TRAUMATO-ORTOPÃ‰DICA (EXCLUI TÃ‰CNICAS CINESIOTERÃ�PICAS
ESPECÃ�FICAS)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E/OU REABILITAÃ‡ÃƒO DE DISTÃšRBIOS CRÃ‚NIO-FACIAIS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAÃ‡ÃƒO E/OU REABILITAÃ‡ÃƒO NOS PROCESSOS INFLAMATÃ“RIOS PÃ‰LVICOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÃ‡ÃƒO,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
ACTINOTERAPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
APLICAÃ‡ÃƒO DE CARIOSTÃ�TICO (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),,,Seg. Odontológica,,,,,,79,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
APLICAÃ‡ÃƒO DE HIPOSSENSIBILIZANTE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
APLICAÃ‡ÃƒO DE SELANTE (COM DIRETRIZ DE UTILIZAÃ‡ÃƒO),,,Seg. Odontológica,,,,,,80,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
APLICAÃ‡ÃƒO TÃ“PICA DE FLÃšOR,,,Seg. Odontológica,,,,,,,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
APLICAÃ‡ÃƒO TÃ“PICA DE VERNIZ FLUORETADO,,,Seg. Odontológica,,,,,,,TERAPÃŠUTICA,"PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÃ�NICOS AMBULATORIAIS
E HOSPITALARES"
